Name,AvatarID,DisplayName,Title,Teaching,SpecialAbilityName,SpecialAbilityDesc,MinConsciousnessLevel,Ray,Rarity,RegionName,QuestCount,TotalQuestXpReward
99,"(Value=""Benzaiten"")","""Benzaiten""","""Flowing Arts Sarasvatī bridge""","""""","""Flow State Channel · **CL:** 3–8 · **NFT:** Epic (bridge consult with #21 lore board)""","""""","(Value=""Physical"")","(Value=""Pink"")","(Value=""Rare"")","""""",0,0
100,"(Value=""Kkai"")","""Kūkai""","""Kōbō Daishi — Mandala Architect""","""""","""Diamond World Stencil · **CL:** 6–9 · **NFT:** Mythic study-gated""","""""","(Value=""Physical"")","(Value=""White"")","(Value=""Rare"")","""""",0,0
101,"(Value=""Nichiren"")","""Nichiren""","""Lotus Réform Beacon""","""""","""Daimoku Chorus · **CL:** 5–9 · **NFT:** Epic (school consult)""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
102,"(Value=""XuanyuanHuangdi"")","""Xuanyuan Huangdi""","""Yellow Emperor Archetype""","""""","""Celestial Pulse Tag · **CL:** 4–9 · **NFT:** Mythic""","""""","(Value=""Physical"")","(Value=""Yellow"")","(Value=""Rare"")","""""",0,0
103,"(Value=""Xiwangmu"")","""Xiwangmu""","""Queen Mother of West""","""""","""Queen Mother Shelter · **CL:** 5–9 · **NFT:** Mythic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
104,"(Value=""Laozi"")","""Laozi""","""Dao Minimal Governance""","""""","""Wu Wei Cooldown Trim · **CL:** 6–9 · **NFT:** Legendary""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
105,"(Value=""KongziConfucius"")","""Kongzi (Confucius)""","""Ren & Mentorship Ethics""","""""","""Rén Echo · **CL:** 2–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
106,"(Value=""GuanYuGuandi"")","""Guan Yu / Guandi""","""Loyalty & Commerce Honour""","""""","""Blade Witness · **CL:** 3–8 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
107,"(Value=""Mazu"")","""Mazu""","""Sea Patron Tianhou""","""""","""Tianhou Gale Buff · **CL:** 3–8 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
108,"(Value=""Nezha"")","""Nezha""","""Lotus Body Renewal""","""""","""Hūluén Wheel Dash · **CL:** 4–8 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
109,"(Value=""SunWukong"")","""Sun Wukong""","""Pilgrim Monkey King Satire Ethics""","""""","""Cloud Somersault Bypass · **CL:** 3–9 · **NFT:** Epic reviewer-gated""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
110,"(Value=""YutheGreat"")","""Yu the Great""","""Flood Engineering Steward""","""""","""Dredge Schedule Bless · **CL:** 4–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
111,"(Value=""LeiGong"")","""Lei Gong""","""Thunder Tribunal""","""""","""Drumstrike Interdict · **CL:** 5–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
112,"(Value=""DewiSri"")","""Dewi Sri""","""Rice Mother""","""""","""Sawah Bless · **CL:** 2–7 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
113,"(Value=""NyaiRoroKidul"")","""Nyai Roro Kidul""","""Southern Ocean Sovereign""","""""","""Kidul Tide Ward · **CL:** 5–9 · **NFT:** Mythic anti-fetish review""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
114,"(Value=""Semar"")","""Semar""","""Wayang Wisdom Clown Mentor""","""""","""Punakawan Reveal · **CL:** 2–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
115,"(Value=""BataraGuru"")","""Batara Guru""","""Cosmic Mentor Archetype""","""""","""Guru Mandate Haste · **CL:** 6–9 · **NFT:** Legendary""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
116,"(Value=""BarongKet"")","""Barong Ket""","""Protector Balance""","""""","""Protective Flourish · **CL:** 5–9 · **NFT:** Mythic Bali consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
117,"(Value=""Garuda"")","""Garuda""","""Unity Bird Archetype""","""""","""Wingline Relay Boost · **CL:** 3–8 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
118,"(Value=""Gatotkaca"")","""Gatotkaca""","""Flying Pandava-derived Hero Local""","""""","""Iron Skin Gale · **CL:** 4–8 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
119,"(Value=""PrincePanji"")","""Prince Panji""","""Cycle Romance Sovereignty""","""""","""Mask Pivot Reveal · **CL:** 3–7 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
120,"(Value=""RoroJonggrang"")","""Roro Jonggrang""","""Temple Bargain Steward""","""""","""Spindle Pause · **CL:** 4–8 · **NFT:** Mythic feminist review""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
121,"(Value=""DewiNawangWulan"")","""Dewi Nawang Wulan""","""Moon Hospitality Archetype""","""""","""Moonwoven Bandage · **CL:** 3–7 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
122,"(Value=""SevenSistersSonglineSteward"")","""Seven Sisters Songline Steward""","""Pleiades Multi-nation Compass""","""""","""Pleiades Sync Buff · **CL:** 3–8 · **NFT:** Gated Aboriginal endorsement""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
123,"(Value=""RainbowSerpentCountryLaw"")","""Rainbow Serpent Country Law""","""Hydrological Ethics Composite""","""""","""Riparian Ward · **CL:** 4–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
124,"(Value=""Bunjil"")","""Bunjil""","""Kulin Creator Eagle""","""""","""Thermal Sight Reveal · **CL:** 5–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
125,"(Value=""Baiame"")","""Baiame""","""Regional Sky Father Steward""","""""","""Rain Whisper Buffer · **CL:** 4–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
126,"(Value=""TagaiNavigator"")","""Tagai Navigator""","""Torres Strait Celestial Voyaging""","""""","""Constellation Compass · **CL:** 3–8 · **NFT:** Mythic Strait consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
127,"(Value=""CelestialEmuDreamingSteward"")","""Celestial Emu Dreaming Steward""","""Dark Constellation STEM""","""""","""Emu Silhouette Mark · **CL:** 2–7 · **NFT:** Epic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
128,"(Value=""DjangkawuCreatorVoyagers"")","""Djang'kawu Creator Voyagers""","""Yolŋu voyaging archetype""","""""","""Voyager Rhythm Link · **CL:** 6–9 · **NFT:** Mythic mandatory consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
129,"(Value=""Namarrkon"")","""Namarrkon""","""Arnhem Lightning Law""","""""","""Lightning Recall · **CL:** 5–9 · **NFT:** Epic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
130,"(Value=""CountryKnowledgeWalkTjukurpaeducationframe"")","""Country Knowledge Walk (Tjukurpa education frame)""","""""","""""","""Ground Recall Marker · **CL:** 4–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
131,"(Value=""MakarrataTreatyBridge"")","""Makarrata Treaty Bridge""","""Truth treaty repair lore""","""""","""Restorative Sync · **CL:** 5–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
132,"(Value=""Papatnuku"")","""Papatūānuku""","""Earth Mother""","""""","""Soil Bond Heal · **CL:** 3–9 · **NFT:** Legendary Māori consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
133,"(Value=""Ranginui"")","""Ranginui""","""Sky Father""","""""","""Skyfather Clarity Beam · **CL:** 5–9 · **NFT:** Legendary consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
134,"(Value=""TneMahuta"")","""Tāne Mahuta""","""Forest Intercessor""","""""","""Canopy Lattice Buff · **CL:** 4–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
135,"(Value=""TangaroaMoristrand"")","""Tangaroa (Māori strand)""","""""","""""","""Mana Moana Tide · **CL:** 3–8 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
136,"(Value=""Rongo"")","""Rongo""","""Peace & Cultivation""","""""","""Diplomatic Crop Share · **CL:** 2–7 · **NFT:** Rare consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
137,"(Value=""Tmatauenga"")","""Tūmatauenga""","""Whānau Defender""","""""","""Haka Discipline Burst · **CL:** 5–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
138,"(Value=""Twhirimatea"")","""Tāwhirimatea""","""Storm winds resilience""","""""","""Gust Disperse · **CL:** 5–9 · **NFT:** Epic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
139,"(Value=""Haumiatiketike"")","""Haumiatiketike""","""Wild foods stealth""","""""","""Rootcloak · **CL:** 2–6 · **NFT:** Rare consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
140,"(Value=""Hinenuitep"")","""Hine-nui-te-pō""","""Threshold transformation""","""""","""Threshold Immunity vs FOMO · **CL:** 6–9 · **NFT:** Mythic anti-fetish review""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
141,"(Value=""KupeNavigator"")","""Kupe Navigator""","""Voyager cartography ethic""","""""","""Navigator’s Truth Wind · **CL:** 4–9 · **NFT:** Mythic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
142,"(Value=""un"")","""Ọṣun""","""River reciprocity òrìṣà""","""""","""Mirror Flow Benediction · **CL:** 3–8 · **NFT:** Mythic anti-fetish review""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
143,"(Value=""ng"")","""Ṣàngó""","""Thunder-order justice lore""","""""","""Gavelstrike Purge · **CL:** 5–9 · **NFT:** Epic diaspora consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
144,"(Value=""btl"")","""Ọbàtálá""","""Calm-maker / elder craft""","""""","""Calm Kiln Shield · **CL:** 4–8 · **NFT:** Legendary initiatory-distance review""","""""","(Value=""Physical"")","(Value=""White"")","(Value=""Rare"")","""""",0,0
145,"(Value=""ya"")","""Ọya""","""Wind-crossing refactor""","""""","""Gale Reconcile · **CL:** 5–9 · **NFT:** Epic glamour-ban review""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
146,"(Value=""MawuLisa"")","""Mawu-Lisa""","""Fon cosmology dual stewardship""","""""","""Equinox Lock · **CL:** 6–9 · **NFT:** Rare consult Benin-region framing""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
147,"(Value=""NyameNyankopon"")","""Nyame / Nyankopon""","""Akan high-god pedagogical compass""","""""","""High God Hush (spam proposal cooldown lore) · **CL:** 5–9 · **NFT:** Rare consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
148,"(Value=""KwakuAnanse"")","""Kwaku Ananse""","""Story-weaver pedagogy""","""""","""Thread Insight · **CL:** 2–8 · **NFT:** Rare diaspora VO + writer consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
149,"(Value=""AusarOsiris"")","""Ausar-Osiris""","""Kemetic cyclic renewal ethics""","""""","""Verdant Revival Mark · **CL:** 5–9 · **NFT:** Mythic museum-repat framing""","""""","(Value=""Physical"")","(Value=""Green"")","(Value=""Rare"")","""""",0,0
150,"(Value=""Mat"")","""Maʿăt""","""Feather tribunal / integrity voting""","""""","""Scale Reveal Overlay · **CL:** 4–9 · **NFT:** Epic consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
151,"(Value=""AnnaNjinga"")","""Anna Njinga""","""Ndongo–Matamba resistance diplomat""","""""","""Strategic Bluff Counter · **CL:** 5–9 · **NFT:** Mythic historians + Angola/diaspora consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
152,"(Value=""Atlas"")","""Atlas""","""Ring steward / eldest king frame""","""""","""Axis Lock Beacon · **CL:** 5–9 · **NFT:** Epic + classics disclaimer metadata""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
153,"(Value=""Cleito"")","""Cleito""","""*Kleitó* sanctuary consent""","""""","""Sanctuary Pause · **CL:** 4–8 · **NFT:** Epic + anti-fetish portrayal review""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
154,"(Value=""Gadeirus"")","""Gadeirus""","""Harbor-ring / strait ethics""","""""","""Tithe Gate Buffer · **CL:** 4–9 · **NFT:** Epic disclaimer""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
155,"(Value=""Ampheres"")","""Ampheres""","""Proportional loadshare""","""""","""Equity Ripple · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
156,"(Value=""Evaemon"")","""Evaemon""","""Good-custom law etiquette""","""""","""Grace Window · **CL:** 2–7 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
157,"(Value=""Mneseus"")","""Mneseus""","""Chain memory archives""","""""","""Replay Oracle · **CL:** 4–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
158,"(Value=""Autochthon"")","""Autochthon""","""Local-first legitimacy""","""""","""Rooted Resilience · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
159,"(Value=""Elasippus"")","""Elasippus""","""Routing cadence fairness""","""""","""Throttle Charm · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
160,"(Value=""Mestor"")","""Mestor""","""Accord mediator""","""""","""Compromise Glyph · **CL:** 4–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
161,"(Value=""Azaes"")","""Azaes""","""Risk-bound explorer""","""""","""Boundary Ping · **CL:** 5–9 · **NFT:** Epic hubris-education tag""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
162,"(Value=""LemurSteward"")","""Lemur Steward""","""Biodiversity-before-babel Madagascar frame""","""""","""Primate Clarity Buff · **CL:** 3–8 · **NFT:** Rare + env donate tag suggested""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
163,"(Value=""SclaterBridge"")","""Sclater Bridge""","""Hypothesis retractions pedagogy""","""""","""Paper Recall Aura · **CL:** 4–9 · **NFT:** Rare (no heroic scientist cult art)""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
164,"(Value=""CoralNotary"")","""Coral Notary""","""Reef accountability witness""","""""","""Symbiosis Witness · **CL:** 4–9 · **NFT:** Epic + climate org tagging""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
165,"(Value=""TideColumn"")","""Tide Column""","""Fair tidal rhythm / mempool equity lore""","""""","""Ebb Rebate · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
166,"(Value=""BasaltChronicle"")","""Basalt Chronicle""","""MORB / ridge basalt geology honesty""","""""","""Stratum Proof · **CL:** 4–9 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
167,"(Value=""FoamSeed"")","""Foam Seed""","""Dispersal ethics without colonial map""","""""","""Drift Brake · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
168,"(Value=""OceanicBridge"")","""Oceanic Bridge""","""Pacific solidarity scaffold""","""""","""Solidarity Lantern · **CL:** 4–9 · **NFT:** Epic + cross-consult metadata""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
169,"(Value=""ShelfWhisper"")","""Shelf Whisper""","""Shelf subsidence realism""","""""","""Bathyal Shield · **CL:** 5–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
170,"(Value=""EquinoxLull"")","""Equinox Lull""","""Volatility moderation at thresholds""","""""","""Libration Hush · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
171,"(Value=""CircleClosure"")","""Circle Closure""","""Meta-bridge tee to cosmic wave""","""""","""Next-Wave Invitation *(cosmetic unlock, no race-coded art)* · **CL:** 4–9 · **NFT:** Mythic + zero hierarchic trope audit""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
172,"(Value=""GreatCentralSunSteward"")","""Great Central Sun Steward""","""Cosmic clock / consensus frame""","""""","""Corona Consensus Pulse · **CL:** 5–9 · **NFT:** Legendary + non-medical metadata""","""""","(Value=""Physical"")","(Value=""White"")","(Value=""Rare"")","""""",0,0
173,"(Value=""PhotonCadence"")","""Photon Cadence""","""Photon-belt gates as season pacing only""","""""","""Chromatic Cooldown · **CL:** 4–9 · **NFT:** Epic + DNA non-claim disclaimer""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
174,"(Value=""SolarLogosDual"")","""Solar Logos Dual""","""Helios/Vesta-style dual signing metaphor""","""""","""Twin Ray Buffer · **CL:** 4–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
175,"(Value=""TelluricSoulBridge"")","""Telluric Soul Bridge""","""Planetary soul bridge; cross #25 Lady Gaia""","""""","""Humus Handoff · **CL:** 3–8 · **NFT:** Epic + cross-story note""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
176,"(Value=""TubeofLightSentinel"")","""Tube-of-Light Sentinel""","""OPSEC visual from Vzestup practice names""","""""","""Phishing Bloom Purge · **CL:** 3–8 · **NFT:** Rare + wellness non-claims""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
177,"(Value=""RadiantSpiral"")","""Radiant Spiral""","""Guild XP spiral — not body claims""","""""","""Vortex Mentor Mark · **CL:** 2–9 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
178,"(Value=""SeventhRayAdjunct"")","""Seventh Ray Adjunct""","""Violet frequency UI next to Saint Germain #26""","""""","""Karma Scrub Cosmetic · **CL:** 4–9 · **NFT:** Epic + coexistence with #26""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
179,"(Value=""GalacticConvenor"")","""Galactic Convenor""","""Galactic Federation parliament — tiered mandates, not Earth-ethnic ranking""","""""","""Orbit Silence · **CL:** 4–9 · **NFT:** Epic + GF art/copy gate""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
180,"(Value=""LightbodyScribe"")","""Lightbody Scribe""","""Journaling only — no therapeutic NFT""","""""","""Ledger Amnesia Token · **CL:** 2–8 · **NFT:** Rare + wellness disclaimer""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
181,"(Value=""VzestupCapstone"")","""Vzestup Capstone""","""13th expansion decad closure → COSMIC_MAP""","""""","""Map Bookmark · **CL:** 6–9 · **NFT:** Mythic + meta only""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
182,"(Value=""ValhallaHallSteward"")","""Valhalla Hall-Steward""","""Einherjar etiquette / rest cycle — not afterlife theology""","""""","""Roast-Rest Cycle · **CL:** 4–9 · **NFT:** Epic + Heathenry-informed consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
183,"(Value=""innWayfarer"")","""Óðinn Wayfarer""","""Governance raven-log / fork review""","""""","""One-Eye Focus · **CL:** 5–9 · **NFT:** Legendary + hate-symbol ban on runes""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
184,"(Value=""rrStormHost"")","""Þórr Storm-Host""","""Uptime / community safety — not toxic alpha trope""","""""","""Chain Lightning Purge · **CL:** 3–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
185,"(Value=""FreyjaVanRuler"")","""Freyja Van-Ruler""","""Fair treasury + privacy lore — no sexualized combat""","""""","""Falcon Trace · **CL:** 4–9 · **NFT:** Epic + metadata parity check""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
186,"(Value=""TrOathFire"")","""Týr Oath-Fire""","""Timelock sacrifice / smart-contract honor""","""""","""Oath-Burn Seal · **CL:** 5–9 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
187,"(Value=""BrigidTripleFlame"")","""Brigid Triple-Flame""","""Forge / docs / care — syncretism disclaimer""","""""","""Triple-Wick Focus · **CL:** 2–8 · **NFT:** Epic + non-medical wellness""","""""","(Value=""Physical"")","(Value=""White"")","(Value=""Rare"")","""""",0,0
188,"(Value=""DagdaPeaceHarp"")","""Dagda Peace-Harp""","""Public goods / epoch spacing""","""""","""Harp Lull · **CL:** 3–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Green"")","(Value=""Rare"")","""""",0,0
189,"(Value=""MorrganSovereigntyRaven"")","""Morrígan Sovereignty-Raven""","""Threat triage — mandatory art consult""","""""","""Phantom Stratagem · **CL:** 6–9 · **NFT:** Mythic + Kālī-tier art gate""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
190,"(Value=""LughSamildanach"")","""Lugh Samildanach""","""Multi-skill multisig / mentor rotation""","""""","""Many-Skill Attune · **CL:** 3–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
191,"(Value=""ManannnmacLir"")","""Manannán mac Lir""","""Sandbox / mist boundaries between chains""","""""","""Mist Veil · **CL:** 4–9 · **NFT:** Rare + no Atlantis conflation""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
192,"(Value=""RSolarBarque"")","""Ré Solar-Barque""","""Epoch heartbeat / anti-FOMO pacing""","""""","""Zenith Clear · **CL:** 4–9 · **NFT:** Legendary + Egyptology consult""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
193,"(Value=""HorUnifier"")","""Hor Unifier""","""Double-crown governance; cross #149 Osiris""","""""","""Udjat Watch · **CL:** 5–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
194,"(Value=""ThothScribe"")","""Thoth Scribe""","""Merkle / changelog integrity""","""""","""Reed-Pen Attest · **CL:** 3–9 · **NFT:** Epic + no gibberish-hieroglyph UI""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
195,"(Value=""HathorJubilee"")","""Hathor Jubilee""","""Community celebration / anti-spam fests""","""""","""Menat Shield · **CL:** 2–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
196,"(Value=""SekhmetAuditFlame"")","""Sekhmet Audit-Flame""","""Slashing + cooling debrief — art gate""","""""","""Solar Wound Audit · **CL:** 6–9 · **NFT:** Mythic + Kālī-tier art review""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
197,"(Value=""PtahMason"")","""Ptah Mason""","""Genesis bytecode / factory safety""","""""","""Mummiform Seal · **CL:** 4–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Green"")","(Value=""Rare"")","""""",0,0
198,"(Value=""AnubisThreshold"")","""Anubis Threshold""","""Migration snapshots — no gore NFTs""","""""","""Scale Tare · **CL:** 4–9 · **NFT:** Rare + no mummy imagery""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
199,"(Value=""AmunHiddenField"")","""Amun Hidden-Field""","""Commit–reveal / private tally lore""","""""","""Concealed Ballot · **CL:** 5–9 · **NFT:** Epic + compliance lore note""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
200,"(Value=""GebFoundation"")","""Geb Foundation""","""L1 substrate / hosting reality check""","""""","""Bedrock Anchor · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
201,"(Value=""NutStellarVault"")","""Nut Stellar Vault""","""Sharding / nightly maintenance metaphor""","""""","""Starfield Span · **CL:** 5–9 · **NFT:** Legendary""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
